Measurement,Purpose,Overall,1st,2nd,3rd,4th,5th
Cycling participation,Utility,2.8,1.8,2.3,2.5,3.3,3.9
Cycling participation,Leisure,2.5,2.1,2.7,2,2.3,3.7
Cycling participation,Total,4.3,3.1,4,3.6,4.6,6.2
Cycling frequency,Utility,0.17,0.1,0.15,0.16,0.22,0.24
Cycling frequency,Leisure,0.09,0.09,0.1,0.06,0.06,0.12
Cycling frequency,Total,0.26,0.18,0.26,0.22,0.28,0.35
Cycling distance,Utility,0.51,0.23,0.41,0.33,0.73,0.84
Cycling distance,Leisure,0.47,0.3,0.56,0.3,0.35,0.82
Cycling distance,Total,0.98,0.52,0.97,0.64,1.1,1.7
